model,const,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,adj_r2,f_pvalue,mae,mse,r2,rmse,otherDescription,trasnformedVariables,uesdComponents,usedVariables
0,-738.5286584751474,0,0,0,0,0,0,21.102767091980727,0,32.08270907755657,0,0,24.089609843817072,0,-798.9338937022956,0,0,0,-319.6271419775348,0,0,0.02886695896814763,0,0,0,0,0,0.5155648881564427,0,0,0.05840335598057018,0,0,0,0,0,0,6.601493161488535e-14,0,0,0,0,379.07692947089225,0,2202.5624060634427,0,0,0,0,0,0,0,0,0,0,910.0856359877924,0,0,0,587.9972405022783,0.10254056205595716,8.645765322275442e-26,1688.5569975871279,8816090.984563405,0.10844490046348386,2963.676198411961,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
1,-739.8950704338963,0,0,0,0,0,0,19.52009314279541,0,32.38458721342109,0,0,24.489189413639682,0,-750.8161040917141,0,0,0,0.0,0,0,0.031428717028353516,0,0,0,0,0,0.5231749388958502,0,0,0.057629103240853075,0,0,0,0,0,0,-7.601176599663734e-14,0,0,0,-401.619597699942,337.48203541933776,0,2199.0704368430306,0,0,0,0,0,0,0,0,0,0,874.8166948736674,0,0,0,583.5167805231051,0.10146099208128152,3.448580259489511e-24,1696.8001959337635,8931514.42646596,0.10737243292285191,2982.8538485969516,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
2,-735.8038354533815,0,0,0,0,0,0,21.66456696873109,0,31.793452957052526,0,0,26.181500602762867,0,-793.591381331724,0,0,0,-332.0140660474498,0,0,0.01590321758782425,0,0,0,0,0,0.5179109836640158,0,0,0.05822447888019752,0,0,0,0,0,0,6.36006803775397e-14,0,0,0,0,364.69607328012535,0,2167.715741102886,0,0,0,0,0,0,0,0,0,0,870.9543981880751,261.48212889883433,0,0,0.0,0.1017764112464815,1.827632784866957e-25,1691.9347541432787,8877342.391999576,0.10768577696196519,2973.56955154113,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
3,-735.1327523799266,0,0,0,0,0,0,20.357130608062555,0,32.43726001084723,0,0,24.233063895973736,0,-756.4960409370378,0,0,0,0.0,0,0,0.03296198754324725,0,0,0,0,0,0.5220818489814524,0,0,0.05833828941932085,0,0,0,0,0,0,5.662336342771179e-14,0,0,0,-407.95199514420756,335.6984017276607,0,2198.5064129991006,0,0,0,0,0,0,0,0,0,0,823.3284286325216,257.2668680937977,0,0,0.0,0.10085489718052003,8.598163595297649e-25,1693.3851775481587,8832856.997146746,0.10677032548854286,2965.8047647790595,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
4,-724.7125944597257,0,0,0,0,0,0,20.84317651601884,0,31.959173836236623,0,0,25.492117519636782,0,-796.3260187709952,0,0,0,-321.1105113532793,0,0,0.024499535176453407,0,0,0,0,0,0.515475939984583,0,0,0.05817848520462818,0,0,0,0,0,0,0.0,2.0071341083674102e-13,0,0,0,371.352288392951,0,2173.9744982260863,0,0,0,0,0,0,0,0,0,0,954.6418361643192,0,0,0,579.6239868524284,0.10192024471401025,5.40182524549295e-25,1691.6010040182766,8849361.207170611,0.1078286641566811,2968.8329515550536,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
5,-748.3981238593883,0,0,0,0,0,0,20.003532684636912,0,32.1715551070699,0,0,24.420412485087873,0,-746.0807451445145,0,0,0,0.0,0,0,0.028871345524032525,0,0,0,0,0,0.5233463859201332,0,0,0.05811867113807019,0,0,0,0,0,0,0.0,3.11248623679901e-13,0,0,-401.4790600992637,332.49227482408116,0,2217.879599470768,0,0,0,0,0,0,0,0,0,0,896.2567074549424,0,0,0,583.6096208665028,0.10134173297250729,5.664594127580663e-26,1694.205412324432,8845190.340818178,0.10725395841347779,2968.6141080884877,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
6,-726.1849839481588,0,0,0,0,0,0,21.610722435225455,0,31.76591623637233,0,0,24.704804816626936,0,-799.1211603084613,0,0,0,-326.48052520827935,0,0,0.024808696428363714,0,0,0,0,0,0.5203482786321083,0,0,0.058263438609313135,0,0,0,0,0,0,0.0,2.98667484895081e-13,0,0,0,375.09296274234566,0,2150.9956599979378,0,0,0,0,0,0,0,0,0,0,892.5341678769589,261.3092361514784,0,0,0.0,0.10193090498651916,4.592727468903824e-25,1691.7579932515048,8854962.634737289,0.10783925429581832,2970.1431722177667,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
7,-753.9075856333549,0,0,0,0,0,0,20.32728945958591,0,33.17322285493811,0,0,24.454989739674588,0,-748.8466578341465,0,0,0,0.0,0,0,0.030774875678687332,0,0,0,0,0,0.5268359946546989,0,0,0.058172447805960294,0,0,0,0,0,0,0.0,3.2453545373576644e-15,0,0,-403.9014775892946,323.31392951783124,0,2213.369675546103,0,0,0,0,0,0,0,0,0,0,869.8410837679509,256.8708067507221,0,0,0.0,0.10160244711321874,9.646190804851374e-25,1693.9378066342408,8875902.86497714,0.10751295732957926,2973.4126680179297,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_entertainment;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
8,-1238.0212340189064,0,0,0,0,0,0,22.92107638633503,0,25.9509344689703,0,0,1.426254877314138,0,0.0,0,0,754.8348046638848,138.29526100799063,0,0,0.030106452279049175,0,0,0,0,0,0.6343983925708159,0,0,0.057776978862388736,0,0,0,0,0,0,-7.434655809508419e-14,0,0,0,0,379.4895743610123,0,1956.451227188184,0,0,0,0,0,0,0,0,0,0,809.8138534428547,0,0,0,608.7285521397174,0.10267961546885174,1.8881450319812437e-25,1695.9953288114268,8873161.148266101,0.10858303905129353,2973.2527302965373,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
9,-1217.2958775093898,0,0,0,0,0,0,23.59957947687187,0,25.96058476253093,0,0,4.732439608197372,0,0.0,0,0,717.9327175346907,0.0,0,0,0.026246396277485207,0,0,0,0,0,0.6283615142180131,0,0,0.058158808363555525,0,0,0,0,0,0,-6.816832923607114e-16,0,0,0,117.19446488468247,346.8672518903865,0,1935.2902919774476,0,0,0,0,0,0,0,0,0,0,806.4100174465707,0,0,0,600.5197110855299,0.10300453127500421,1.3167025447696227e-25,1697.1956864234232,8928925.188651372,0.10890581725345791,2982.3289587912514,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
