model,const,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,adj_r2,f_pvalue,mae,mse,r2,rmse,otherDescription,trasnformedVariables,uesdComponents,usedVariables,n_variables_used,rmsle,variables_used
0,-1012.188225182101,0.0,46.68366095106704,0.0,1009.8429208609443,0.0,0.0,0.0,0.0,33.65587573346167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-291.68475340482615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533802582451686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.9381105998848,0.0,0.0,0.0,0.0,0.0,1282.2156796842378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04006780221221709,0.0012042365648909804,3505.4731143758204,1148845155.4117064,0.046794053848367705,28504.78412549149,,kw_avg_avg = ln(kw_avg_avg); num_imgs = ln(num_imgs),,"kw_avg_avg, LDA_03, weekday_is_saturday, data_channel_is_world, num_imgs, n_tokens_title, n_unique_tokens",,,
1,-1162.8552835656233,0.0,54.80945099792958,0.0,923.7505972630528,0.0,0.0,0.0,0.0,31.89212807295733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.00783346859845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946328134985152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.1364531149347,0.0,0.0,0.0,0.0,0.0,1269.662813562996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04134949568439199,0.000702260709353822,3504.2266267959253,1156377629.119778,0.048066766485402264,28311.64986762667,,kw_avg_avg = ln(kw_avg_avg); num_imgs = ln(num_imgs),,kw_avg_avg;LDA_03;weekday_is_saturday;data_channel_is_world;num_imgs;n_tokens_title;n_unique_tokens,,,
2,-342.8091856156921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.140974511416076,0.0,0.0,0.0,0.0,0.0,-431.60614529622666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934810245207078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.6280958851098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.5227527655668,0.038498665218656934,0.0009682324357573561,3085.267946956824,65432409.84790471,0.043310984211556665,8080.459258360384,,,,kw_avg_avg;LDA_03;is_weekend;data_channel_is_entertainment;abs_title_sentiment_polarity;self_reference_avg_sharess,,,
3,-884.2605038530545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.9831912135922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1119197806074481,0.0,0.0,0.01809164671408346,0.0,0.0,0.0,0.0,0.0,0.0,128.29211650755315,0.0,0.0,0.0,0.0,1582.0703836825655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.5932745594494,0.040065612080281136,1.3154884667097803e-29,2920.824804546541,39175775.12468783,0.041711684194461814,6259.055449881224,,,,data_channel_is_tech;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess,,,
4,-134.72375006557974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.19945770221083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-424.978273742776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0015755906030273,0.0,0.0,0.010249442182561413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.818042746851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.5365460805706,0.03542011140335472,2.2416302674187383e-16,3031.9213601208753,64181242.69864202,0.03707414950897904,7930.673209076121,,,,data_channel_is_world;is_weekend;kw_avg_avg;num_imgs;abs_title_sentiment_polarity;self_reference_avg_sharess,,,
5,-996.9179130220348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-901.4509557552907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9003255625050083,0.0,0.0,0.010534241420855836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.8225346469565,0.0,0.0,0.0,1756.028694995824,0.0,2293.0327306352483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.3125242869721,0.03930136313351349,6.0011276518168475e-18,3031.898506795645,64808282.03464738,0.04122330953478965,7969.082563728693,,,,data_channel_is_entertainment;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity,,,
6,-923.0410020819924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.87010101896084,0.0,0.0,0.0,0.0,-957.6663950961439,0.0,0.0,0.0,0.0,0.0,0.0,-0.10177341512071417,0.0,0.0,0.0,0.0,0.0,0.8942118203028241,0.0,0.0,0.009710281515848644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.3175345262875,0.0,0.0,-183.0391143419494,1557.265985473138,0.0,1854.423953220583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1514.1189105340945,586.1474008527541,0.0,0.0,0.0,0.038931507922235035,1.6959300343554228e-16,3027.1010880803233,64224392.5813438,0.041952872144257136,7937.290262239198,,ln(self_reference_avg_sharess+1);(global_subjectivity)^3,,data_channel_is_entertainment;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity,,,
7,-1101.5858535354337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.60641267737935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.2934373185672,-99.19490883259544,0.0,0.0,-0.11889553536076215,0.0,0.0,0.0,0.0,0.0,0.9237322341585196,0.0,0.0,0.00981520664749415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.1636069136242,0.0,0.0,0.0,1367.9077525609116,0.0,1604.402774549672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1523.3782962480575,0.0,0.0,0.0,1201.4788933080733,0.037667893151768335,8.859987523713548e-16,3030.163443781928,64322607.41716161,0.040693229869496465,7943.085445038385,,,,data_channel_is_tech;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity,,,
8,-2018.350774338156,0.0,0.0,0.0,0.0,0.0,0.0,-7.92998500176808,0.0,26.95952679782004,0.0,0.0,104.53487765952258,0.0,0.0,0.0,0.0,314.54367009560025,0.0,0.0,0.0,-0.1636970338191309,0.0,0.0,0.0,0.0,0.0,0.9599503287504966,0.0,0.0,0.009182237789642549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.2112933219098,0.0,0.0,189.4528766310851,1450.8976082574814,0.0,1835.1174848145083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1571.6140897279224,520.3280971729935,0.0,0.0,0.0,0.03764774613001917,5.463665427577299e-15,3034.7086570946526,64417236.70810711,0.04122321892233406,7945.742399099855,,,,data_channel_is_tech;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords,,,
9,-1274.146999716219,0.0,0.0,0.0,0.0,0.0,0.0,23.68841547229809,0.0,26.65893974780039,0.0,0.0,4.231398286857251,0.0,0.0,0.0,0.0,739.578463550266,132.23556870686411,0.0,0.0,0.012015915795939741,0.0,0.0,0.0,0.0,0.0,0.6399598201886347,0.0,0.0,0.05807083241356108,0.0,0.0,0.0,0.0,0.0,0.0,1.1951545935144177e-13,0.0,0.0,0.0,0.0,359.2140502988025,0.0,1992.0520229216725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0229133421553,247.3740401255283,0.0,0.0,0.0,0.102714625687403,1.2369513000269194e-25,1692.8815409493009,8809131.832703112,0.10861781893945946,2962.354988572145,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords,,,
